Nc,AntiIp
AU,211.30.63.190
AU,203.25.238.244
AU,112.141.175.210
AU,58.110.75.147
AU,211.31.117.226
AU,49.177.55.15
AU,1.132.248.19
AU,211.31.63.190
AU,121.212.82.159
AU,211.26.63.190
AU,14.201.23.66
AU,121.219.191.130
AU,211.29.222.39
AU,211.26.58.198
AU,125.168.231.111
AU,211.31.222.39
AU,175.34.47.178
AU,211.30.63.190
AU,115.130.166.114
AU,210.84.225.55
AU,1.122.248.19
AU,211.26.58.198
AU,125.168.231.111
AU,121.219.214.102
AU,220.240.174.220
AU,211.27.58.198
AU,211.28.11.227
AU,203.100.238.244
AU,1.135.66.92
AU,168.152.170.2
AU,1.132.77.64
AU,211.30.150.194
AU,211.27.58.198
AU,203.88.238.244
AU,211.31.63.169
AU,121.208.191.130
AU,121.220.191.130
AU,203.91.238.244
AU,211.31.63.190
AU,1.139.245.102
AU,211.29.241.90
AU,211.29.58.198
AU,121.220.167.1
AU,125.63.231.111
AU,203.4.238.244
AU,1.159.248.19
AU,125.168.231.111
AU,1.41.141.242
AU,115.64.166.114
AU,121.209.214.102
AU,211.27.63.190
AU,121.220.22.31
AU,110.32.135.204
AU,211.28.63.190
AU,211.31.63.169
AU,211.29.235.3
AU,211.31.175.251
AU,211.27.63.190
AU,49.178.7.152
AU,211.29.63.190
AU,1.142.66.92
AU,211.31.86.9
AU,106.68.181.82
AU,211.31.63.190
AU,61.88.249.151
AU,121.214.191.130
AU,203.164.238.244
AU,124.47.159.114
AU,211.30.63.190
AU,220.240.174.220
AU,121.50.214.102
AU,203.6.178.203
AU,121.215.166.81
AU,203.108.178.203
AU,175.45.147.235
AU,124.149.159.114
AU,211.31.111.178
AU,203.202.178.203
AU,211.29.222.39
AU,211.29.235.3
AU,211.30.56.229
AU,124.169.159.114
AU,211.31.32.70
AU,203.91.238.244
AU,1.139.211.18
AU,121.210.167.1
AU,203.58.176.211
AU,121.91.167.1
AU,61.29.34.77
AU,211.31.222.39
AU,125.168.231.111
AU,121.222.214.102
AU,211.31.5.76
AU,125.168.231.111
AU,121.222.191.130
AU,121.44.165.242
AU,211.26.58.198
AU,211.27.13.181
AU,121.216.45.235
AU,203.132.238.244
AU,211.26.86.211
AU,124.177.159.114
AU,203.46.176.211
AU,211.28.150.194
AU,121.200.45.235
AU,211.29.63.190
AU,211.30.63.190
AU,125.168.231.111
AU,211.27.58.198
AU,211.31.91.234
AU,121.216.204.5
AU,180.189.20.21
AU,124.182.159.114
AU,14.137.213.130
AU,211.30.22.194
AU,211.29.19.254
AU,203.56.238.244
AU,110.175.147.55
AU,211.30.63.190
AU,203.51.178.203
AU,1.150.248.19
AU,1.137.248.19
AU,220.239.54.19
AU,121.216.214.102
AU,121.221.160.94
AU,220.235.54.19
AU,121.215.85.73
AU,211.31.11.227
AU,121.44.214.102
AU,124.177.159.114
AU,125.255.231.111
AU,125.63.231.111
AU,115.70.166.114
AU,220.245.54.19
AU,211.29.63.190
AU,203.51.238.244
AU,124.149.46.62
AU,220.101.174.220
AU,121.216.167.1
AU,220.235.174.220
AU,121.217.147.32
AU,211.27.111.178
AU,125.255.231.111
AU,49.197.32.6
AU,211.30.222.39
AU,211.30.58.198
AU,220.245.50.160
AU,49.2.32.6
AU,175.35.147.235
AU,1.125.248.19
AU,211.27.63.190
AU,211.28.13.166
AU,124.184.159.114
AU,211.30.147.200
AU,203.45.146.217
AU,203.43.246.41
AU,115.187.166.114
AU,203.14.238.244
AU,220.244.191.5
AU,211.29.63.169
AU,180.222.20.21
AU,203.5.178.203
AU,121.208.160.94
AU,125.255.231.111
AU,59.102.79.174
AU,210.56.225.55
AU,211.28.63.190
AU,211.27.111.178
AU,58.178.225.120
AU,211.28.63.190
AU,203.219.178.203
AU,211.31.63.190
AU,211.31.13.166
AU,211.26.58.198
AU,1.147.75.9
AU,211.26.11.227
AU,175.32.47.178
AU,121.208.158.54
AU,211.31.58.198
AU,124.183.159.114
AU,211.29.241.90
AU,203.15.178.203
AU,211.30.91.234
AU,211.31.86.211
AU,211.29.63.190
AU,49.176.223.68
AU,211.30.37.197
AU,211.31.117.226
AU,125.63.231.111
AU,211.26.58.198
AU,121.216.209.130
AU,210.18.222.20
AU,121.90.83.69
AU,211.29.58.198
AU,211.30.22.194
AU,1.40.76.188
AU,210.79.22.148
AU,121.212.160.94
AU,121.222.87.136
AU,121.222.160.94
AU,1.131.75.226
AU,121.215.30.10
AU,211.30.58.198
AU,121.215.158.54
AU,211.26.193.215
AU,121.79.82.170
AU,114.72.139.203
AU,1.131.61.87
AU,211.28.105.138
AU,203.124.178.203
AU,1.133.66.92
AU,121.215.191.130
AU,121.217.30.10
AU,1.44.77.64
AU,124.169.159.114
AU,103.208.190.9
AU,121.213.214.102
AU,220.236.174.220
AU,211.29.105.138
AU,203.35.178.203
AU,211.29.63.169
AU,1.141.61.87
AU,58.166.240.72
AU,211.29.63.190
AU,59.86.176.212
AU,125.255.231.111
AU,211.30.111.178
AU,211.29.86.211
AU,211.31.105.138
AU,1.150.248.19
AU,49.188.7.152
AU,211.31.63.190
AU,121.208.160.94
AU,210.50.65.243
AU,1.125.75.226
AU,121.211.160.94
AU,211.26.222.39
AU,211.31.105.138
AU,49.183.32.6
AU,211.30.63.190
AU,1.157.248.19
AU,210.11.65.243
AU,210.10.114.24
AU,211.31.63.169
AU,203.29.178.203
AU,203.8.178.203
AU,203.4.238.244
AU,175.38.147.235
AU,211.31.63.190
AU,211.30.63.190
AU,211.27.63.190
AU,121.221.30.10
AU,211.30.63.190
AU,125.168.231.111
AU,211.28.63.190
AU,211.26.150.195
AU,211.26.235.3
AU,1.148.245.102
AU,58.167.75.147
AU,211.30.63.169
AU,1.123.248.19
AU,1.127.159.79
AU,211.30.105.138
AU,121.209.160.94
AU,124.168.159.114
AU,211.30.11.227
AU,211.30.63.190
AU,58.108.144.222
AU,1.153.4.219
AU,211.31.86.211
AU,211.31.58.198
AU,58.162.144.222
AU,165.12.109.154
AU,1.122.248.19
AU,220.236.54.19
AU,203.37.135.222
AU,1.44.8.103
AU,1.137.218.13
AU,121.217.167.1
AU,1.42.245.102
AU,211.30.117.226
AU,106.68.255.142
AU,1.124.75.226
AU,211.29.11.227
AU,211.26.105.138
AU,211.30.86.211
AU,211.30.86.211
AU,1.40.66.92
AU,1.151.185.149
AU,121.216.61.135
AU,211.26.158.222
AU,1.121.75.226
AU,124.186.159.114
AU,211.31.111.178
AU,211.28.63.190
AU,211.30.63.190
AU,1.121.66.92
AU,203.63.248.18
AU,115.70.172.118
AU,1.122.248.19
AU,121.213.165.242
AU,211.30.58.198
AU,1.144.75.226
AU,1.135.75.226
AU,1.121.245.102
AU,211.30.86.211
AU,58.168.86.242
AU,1.123.245.102
AU,211.27.105.138
AU,211.26.63.190
AU,203.25.238.244
AU,49.179.36.181
AU,115.130.172.118
AU,175.33.47.178
AU,180.216.52.131
AU,1.154.81.154
AU,211.29.86.9
AU,211.26.63.190
AU,1.43.75.226
AU,211.28.105.138
AU,211.29.63.190
AU,125.63.231.111
AU,115.129.48.33
AU,125.63.231.111
AU,27.54.138.5
AU,112.141.175.210
AU,113.61.102.164
AU,121.218.204.105
AU,211.31.58.198
AU,1.149.248.19
AU,124.180.159.114
AU,58.168.144.222
AU,211.28.63.190
AU,1.142.245.102
AU,211.30.37.93
AU,121.213.167.1
AU,27.50.64.12
AU,121.210.214.102
AU,203.101.238.244
AU,119.161.73.81
AU,211.26.175.251
AU,121.50.214.102
AU,1.135.248.19
AU,210.9.222.20
AU,210.215.65.243
AU,220.235.54.19
AU,112.213.175.210
AU,211.29.63.169
AU,211.29.63.190
AU,211.28.222.39
AU,211.28.58.198
AU,211.31.63.190
AU,61.69.249.151
AU,220.244.174.220
AU,211.30.111.178
AU,1.121.176.9
AU,1.178.81.154
AU,210.0.65.243
AU,211.27.111.178
AU,125.255.231.111
AU,124.180.159.114
AU,203.36.178.203
AU,211.27.22.194
AU,1.144.245.102
AU,211.30.63.190
AU,27.54.138.5
AU,211.27.222.39
AU,115.187.166.114
AU,211.26.86.211
AU,115.187.230.92
AU,124.188.159.114
AU,121.200.22.31
AU,210.0.65.243
AU,220.233.54.19
AU,1.136.176.181
AU,121.208.30.10
AU,124.178.159.114
AU,211.30.175.251
AU,1.127.245.102
AU,1.43.81.154
AU,210.215.225.55
AU,211.28.63.190
AU,211.31.63.190
AU,124.176.159.114
AU,211.28.63.190
AU,211.27.58.198
AU,210.9.9.75
AU,211.26.37.197
AU,1.144.81.154
AU,1.140.81.154
AU,211.31.109.213
AU,203.143.238.244
AU,211.26.222.39
AU,125.255.231.111
AU,210.84.65.243
AU,220.233.174.220
AU,211.29.11.227
AU,211.31.11.227
AU,220.244.54.19
AU,211.26.11.227
AU,210.50.114.24
AU,211.26.63.190
AU,211.30.63.190
AU,211.30.187.135
AU,1.40.66.92
AU,1.140.66.92
AU,210.215.193.9
AU,211.26.58.198
AU,211.29.87.37
AU,211.30.58.104
AU,121.45.167.1
AU,27.32.64.12
AU,1.41.248.19
AU,1.43.248.19
AU,121.216.204.105
AU,14.137.212.145
AU,121.208.160.94
AU,211.26.63.190
AU,211.29.86.211
AU,211.30.86.211
AU,211.28.63.190
AU,210.215.65.243
AU,1.146.248.19
AU,211.29.86.9
AU,211.27.63.190
AU,211.27.114.216
AU,211.26.111.178
AU,211.26.63.190
AU,1.123.66.92
AU,211.30.63.169
AU,121.44.214.102
AU,1.123.66.92
AU,121.217.211.254
AU,211.30.84.34
AU,203.48.178.203
AU,211.26.111.178
AU,121.200.30.10
AU,211.28.11.227
AU,211.28.136.49
AU,61.69.146.12
AU,203.11.178.203
AU,121.209.158.54
AU,211.26.86.211
AU,125.255.231.111
AU,211.26.251.221
AU,220.238.174.220
AU,121.222.204.105
AU,211.30.63.190
AU,211.26.11.227
AU,1.143.245.102
AU,211.30.58.198
AU,58.7.240.72
AU,211.26.58.198
AU,175.32.205.117
AU,58.104.144.222
AU,203.206.238.244
AU,1.128.245.102
AU,58.160.144.222
AU,121.218.167.158
AU,121.44.214.102
AU,58.6.232.44
AU,220.237.50.160
AU,121.221.211.254
AU,1.158.195.154
AU,61.69.146.33
AU,211.31.63.190
AU,211.26.63.190
AU,211.29.222.39
AU,211.26.63.190
AU,211.26.114.216
AU,125.255.231.111
AU,211.28.63.190
AU,203.39.117.155
AU,175.33.47.178
AU,125.168.231.111
AU,125.254.83.208
AU,211.30.84.35
AU,211.31.222.39
AU,1.120.248.19
AU,121.216.167.1
AU,175.37.147.235
AU,211.30.63.190
AU,203.143.238.244
AU,114.77.24.104
AU,211.26.58.198
AU,211.28.63.190
AU,203.103.238.244
AU,1.153.66.92
AU,211.29.63.190
