"에너지원별(1)",에너지원별(2),에너지원별(3),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"에너지원별(1)",에너지원별(2),에너지원별(3),전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"① 재생에너지",바이오 (toe),바이오가스,91740,13341,2517,6940,4570,6369,3755,8162,-,18255,2216,2717,2085,11442,682,2314,5080,1294,96281,12863,1909,5884,6100,5053,3628,7266,-,19227,3388,5390,2723,12340,670,2558,6475,807,95385,12012,3715,5664,6192,4716,2157,6785,1044,16660,3783,4671,2400,17343,424,2256,4752,811,114343,12841,2793,12242,4881,3066,3937,7570,1044,20887,3924,4909,2969,13044,479,2706,12613,4437,101807.2876784757,13537.1985069639,5487.7794797328,6854.1181693762,5946.54519597,2659.8566256034,6044.678640174,6445.4862412672,549.48433472,21107.4122907362,4192.648184216,4348.1251806705,2658.5012708656,10936.0473997541,515.40087533,3205.3011766296,6443.8931954471,874.8109110192
"① 재생에너지",바이오 (toe),매립지가스,65179,-,2415,7657,45536,618,5940,-,-,-,557,352,-,223,1341,-,-,542,75518,1960,1943,17801,45131,491,4738,-,-,-,616,228,-,588,1496,-,58,469,62190,1526,1519,15727,33012,1018,6587,-,-,-,436,162,-,73,1485,-,219,424,81226,1578,1811,33995,35186,662,5718,-,-,-,352,129,-,-,1297,-,0,496,69388.6836394009,1587.1338813858,1380.83534352,22752.3089746101,40168.33961904,649.761774519,1009.289245864,-,-,-,266.488986,108.183226536,-,-,1087.636155816,-,-,378.70643211
"① 재생에너지",바이오 (toe),바이오디젤,683234,78977,38316,32495,46921,18638,17941,15639,4030,165124,25244,25995,35608,30125,35900,45331,50395,16553,699713,78837,39533,33067,47749,19166,18212,16052,4417,168741,25956,26893,36743,30759,37126,46888,51785,17790,689957,76527,38860,32521,46095,18845,17661,15625,4496,168269,25874,26419,36114,30216,37060,46417,51665,17291,597068,65606,33522,27269,38294,16143,15048,13308,3968,147924,22417,22992,31211,26086,33165,40085,44738,15292,683018.856,74005.5798911415,37795.0931708253,31065.1178973392,42130.8351192478,18455.1810760166,17204.4485938333,14969.8028259569,4612.9203372213,170990.5781100138,25840.3752630243,26508.4031778465,36089.1861779454,30013.8698616399,38574.6923865933,46003.2831900291,51567.1493833667,17192.339537959
"① 재생에너지",바이오 (toe),우드칩,140232,-,7828,37013,36733,-,-,24134,-,29770,-,-,6,-,322,-,-,4425,226865,-,7010,20265,69438,-,-,25081,-,28468,348,-,71634,690,812,524,-,2595,237346,-,7174,22443,49200,-,-,32065,-,34680,3110,-,77907,4140,4050,524,-,2054,231309,-,7174,28734,12811,-,-,30408,-,36082,7536,-,86376,13082,8009,68,-,1030,170716.8330063078,-,8398,11820.5,14461.722,-,-,27355.5,-,2661.66,341.5,-,85822.7,6826.0730755878,13029.17793072,-,-,-
"① 재생에너지",바이오 (toe),성형탄,17221,2920,1114,770,828,487,529,445,88,3961,708,632,756,593,677,1089,1329,296,16505,2776,1067,730,801,468,496,428,92,3837,671,603,722,571,645,1029,1275,295,10858,1788,677,443,454,301,330,314,54,2268,544,442,500,361,440,764,938,241,10598,1766,681,465,528,298,313,271,65,2520,428,384,466,363,407,649,806,189,2644.74,437.2573492675,170.128946665,117.8263371348,133.8542794686,72.2723418025,78.618015033,66.277632072,16.5314329121,634.3857376161,106.7488961821,95.3876513926,116.3052573629,89.6143358878,99.10642446,160.4909864655,199.6413582024,50.2930180751
"① 재생에너지",바이오 (toe),임산연료,674167,2206,22,1733,2630,2603,6017,19954,3377,56314,144602,82482,57758,59658,53285,77774,96562,7190,131073,1,448,48,199,588,759,560,1,17736,20791,7362,5765,5075,12748,32578,22560,3854,142876,-,-,616,56,946,441,141,246,22292,29857,41174,19159,8379,7546,9360,2507,154,96770,27,-,46,163,307,202,-,308,7425,26586,9655,9692,5806,6704,19586,9241,1023,157598.42,43.12,61.6,162.4,172.76,924,496.44,103.88,1044.68,18476.64,38459.96,21496.3,17984.4,22505.84,8370.88,19117.84,7290.08,887.6
"① 재생에너지",바이오 (toe),목재펠릿,1486488,117,9051,1543,981,-,4065,773,2495,34631,187891,28247,162997,715052,142498,31143,139398,25604,1543390,38,8875,418,981,-,1239,794,585,32888,208774,23415,153041,791593,144196,27331,124257,24964,1325675,38,5390,421,981,-,1335,775,593,27501,284092,22446,146897,682841,16550,24565,88022,23229,1787454,38,5390,421,978,-,1335,775,456,32109,439766,21764,304001,844567,16538,24471,70962,23882,1836137.369377844,36.8114206,4867.0249739361,588.5296423037,977.8141296,-,264.9496892,794.3371483,456.1131858,19945.1365775466,368854.2751998181,18119.5135998,359623.1246969767,959765.7284312946,16240.9446871278,26706.3087947492,47906.0823341517,10990.6748666398
"① 재생에너지",바이오 (toe),폐목재,73771,-,-,-,6359,-,-,-,-,12340,-,451,33800,20059,635,-,128,-,66663,-,-,-,6483,-,-,-,-,11704,-,363,27676,20393,-,-,45,-,72501,-,-,-,6523,-,-,-,-,11188,-,862,27676,26207,-,-,45,-,66622,-,-,-,6446,-,-,-,-,11045,-,862,25128,23141,-,-,-,-,65629.003975416,-,-,-,5428.5594384,-,-,-,-,2140.739262816,183.3366528,145.964445,33199.03125,24531.3729264,-,-,-,-
"① 재생에너지",바이오 (toe),흑액,218902,-,-,-,-,-,-,218902,-,-,-,-,-,-,-,-,-,-,205286,-,-,-,-,-,-,205286,-,-,-,-,-,-,-,-,-,-,197589,-,-,-,-,-,-,197589,-,-,-,-,-,-,-,-,-,-,212208,-,-,-,-,-,-,212208,-,-,-,-,-,-,-,-,-,-,224899.072,-,-,-,-,-,-,224899.072,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (toe),하수슬러지 고형연료,114451,-,-,-,-,-,-,-,-,26706,-,-,61407,-,-,1662,24675,-,102061,-,-,-,-,-,-,-,-,26651,-,-,70536,-,-,4873,-,-,154832,-,-,-,-,-,-,-,-,61193,-,-,64172,-,-,10636,18831,-,152762,-,-,-,-,-,-,-,-,60438,-,-,65850,-,-,8517,17957,-,66808.387365,-,-,-,-,-,-,-,-,46644.03741,-,-,13285.349955,-,-,6879,-,-
