"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"① 재생에너지",수력 (MWh),자가용,소계,2823,-,57,-,571,-,342,-,-,1387,-,4,90,-,-,-,-,371,2467,-,70,-,290,-,245,-,-,1496,-,8,51,-,-,-,-,308,2208,-,55,-,33,-,241,-,-,1525,-,-,100,-,-,-,-,253,2595,-,7,-,705,-,257,-,-,1342,-,-,67,-,-,-,-,217,3792.708,-,211.533,-,1849.663,-,121.611,-,-,1407.521,-,-,12.003,-,-,-,-,190.377
"① 재생에너지",해양 (MWh),소계,소계,485353,-,-,-,-,-,-,-,-,485353,-,-,-,-,-,-,-,-,474321,-,-,-,-,-,-,-,-,474321,-,-,-,-,-,-,-,0.2,457263,-,-,-,-,-,-,-,-,457257,-,-,-,-,-,-,-,5.6,454980,-,-,-,-,-,-,-,-,454961,-,-,-,-,13,-,-,6.3,423843.07771,-,-,-,-,-,-,-,-,423839.29811,-,-,-,-,2.84,-,-,0.9396
"① 재생에너지",해양 (MWh),사업용,소계,485353,-,-,-,-,-,-,-,-,485353,-,-,-,-,-,-,-,-,474321,-,-,-,-,-,-,-,-,474321,-,-,-,-,-,-,-,0.2,457263,-,-,-,-,-,-,-,-,457257,-,-,-,-,-,-,-,5.6,454980,-,-,-,-,-,-,-,-,454961,-,-,-,-,13,-,-,6.3,423843.07771,-,-,-,-,-,-,-,-,423839.29811,-,-,-,-,2.84,-,-,0.9396
"① 재생에너지",바이오 (MWh),소계,소계,9363229,40499,11336,25236,262440,2901,-,784868,20496,253217,1084511,7308,1890056,3163041,37854,10452,671011,1098003,10415632,37612,9123,22390,265584,2303,-,723555,25036,315130,1238396,10547,2037524,3310551,24132,17576,515194,1860981,9938354,29554,9827,29663,228842,4779,-,799437,25790,302620,1527599,8846,1933197,3157632,45367,29698,434237,1371267,11788068,28706,14294,14158,210856,3107,-,689987,27461,346957,2225996,8492,2677939,3676706,57690,22778,372760,1410179,11927592.37752499,27782.8512,12533.571546,6071.8550077286,228231.242201,3050.524763,-,290266.981,12460.199739045,379897.4313874837,1883770.925851055,8210.74572,2810616.005108821,4347686.234802321,93968.913752,19547.4598612558,191844.649389,1611652.78619628
"① 재생에너지",바이오 (MWh),사업용,소계,9076016,32093,11336,18220,262440,2901,-,528201,20496,241210,1084511,6916,1889367,3163009,37595,8707,671011,1098003,10111154,32048,9123,15618,265584,2303,-,445915,25036,306301,1238396,7908,2036585,3310551,23705,15907,515194,1860981,9664364,27749,9827,14619,228842,4779,-,558487,25790,294247,1527599,6787,1928952,3157632,44970,28582,434237,1371267,11454757,28706,14294,10287,210856,3107,-,428017,27461,338567,2225996,6341,2622595,3676706,57293,21676,372676,1410179,11503337.47230499,27782.8512,10614.051546,5186.8550077286,228231.242201,3050.524763,-,55474.531,12460.199739045,374028.2313874837,1883770.925851055,6230.74572,2638367.039888821,4347686.234802321,93805.513752,13151.0898612558,191844.649389,1611652.78619628
"① 재생에너지",바이오 (MWh),자가용,소계,287213,8406,-,7016,-,-,-,256667,-,12007,-,392,689,32,259,1745,-,-,304478,5564,-,6772,-,-,-,277640,-,8829,-,2639,939,-,427,1669,-,-,273990,1805,-,15044,-,-,-,240950,-,8373,-,2059,4246,-,397,1116,-,-,333310,-,-,3871,-,-,-,261970,-,8390,-,2151,55345,-,397,1102,85,-,424254.90522,-,1919.52,885,-,-,-,234792.45,-,5869.2,-,1980,172248.96522,-,163.4,6396.37,-,-
"① 재생에너지",바이오 (MWh),바이오가스,소계,175007,40499,-,7016,10509,-,-,-,-,51059,5517,5655,8572,22171,899,7758,12455,2897,195247,37612,-,6772,18270,-,-,-,-,53175,10184,9478,12712,23501,1624,8347,11428,2145,179046,29554,2694,15044,18563,-,-,-,-,40184,11242,8086,11159,21281,1104,6985,10988,2162,191081,28706,5792,3871,16138,-,-,-,-,60627,12431,7884,12176,23314,1362,7885,8917,1977,152741.7863105652,27782.8512,6050.776506,885,18424.62792,-,-,-,-,32676.4231874837,11306.182332,7702.843248,12051.4762162702,16313.7404425782,1477.14152,8135.5058612558,7217.499733,2717.7181439773
"① 재생에너지",바이오 (MWh),바이오가스,사업용,144461,32093,-,-,10509,-,-,-,-,39052,5517,5263,7883,22139,640,6013,12455,2897,168409,32048,-,-,18270,-,-,-,-,44346,10184,6839,11773,23501,1197,6678,11428,2145,149710,27749,2694,-,18563,-,-,-,-,31811,11242,6027,10617,21281,708,5869,10988,2162,174406,28706,5792,-,16138,-,-,-,-,52238,12431,5733,11496,23314,966,6783,8832,1977,135429.4363105652,27782.8512,4131.256506,-,18424.62792,-,-,-,-,26807.2231874837,11306.182332,5722.843248,11952.6162162702,16313.7404425782,1313.74152,1739.1358612558,7217.499733,2717.7181439773
"① 재생에너지",바이오 (MWh),바이오가스,자가용,30546,8406,-,7016,-,-,-,-,-,12007,-,392,689,32,259,1745,-,-,26838,5564,-,6772,-,-,-,-,-,8829,-,2639,939,-,427,1669,-,-,29336,1805,-,15044,-,-,-,-,-,8373,-,2059,542,-,397,1116,-,-,16675,-,-,3871,-,-,-,-,-,8390,-,2151,679,-,397,1102,85,-,17312.35,-,1919.52,885,-,-,-,-,-,5869.2,-,1980,98.86,-,163.4,6396.37,-,-
"① 재생에너지",바이오 (MWh),매립지가스,소계,242172,-,11336,-,213783,2901,-,-,-,-,2615,1653,-,1046,6294,-,-,2543,239527,-,9123,-,211883,2303,-,-,-,-,2891,1069,-,2760,7023,-,270,2204,180043,-,7133,-,154988,4779,-,-,-,-,2049,760,-,344,6971,-,1030,1988,187485,-,8502,-,165191,3107,-,-,-,-,1654,608,-,-,6090,-,2,2330,206760.335857,-,6482.79504,-,188583.75408,3050.524763,-,-,-,-,1251.122,507.902472,-,-,5106.273032,-,-,1777.96447
"① 재생에너지",바이오 (MWh),매립지가스,사업용,242172,-,11336,-,213783,2901,-,-,-,-,2615,1653,-,1046,6294,-,-,2543,239527,-,9123,-,211883,2303,-,-,-,-,2891,1069,-,2760,7023,-,270,2204,180043,-,7133,-,154988,4779,-,-,-,-,2049,760,-,344,6971,-,1030,1988,187485,-,8502,-,165191,3107,-,-,-,-,1654,608,-,-,6090,-,2,2330,206760.335857,-,6482.79504,-,188583.75408,3050.524763,-,-,-,-,1251.122,507.902472,-,-,5106.273032,-,-,1777.96447
"① 재생에너지",바이오 (MWh),매립지가스,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),우드칩,소계,53786,-,-,16503,21341,-,-,-,-,-,-,-,-,-,-,-,-,15942,41753,-,-,15618,11415,-,-,-,-,-,1634,-,-,3241,2496,-,-,7349,99242,-,-,14619,653,-,-,-,-,24380,12628,-,3704,19436,19014,-,-,4809,222248,-,-,10287,3039,-,-,-,-,23148,33411,-,54665,61416,36282,-,-,-,319427.8688984133,-,-,5186.8550077286,1277.7192,-,-,-,-,-,-,-,219746.153816,32047.2914346846,61169.84944,-,-,-
"① 재생에너지",바이오 (MWh),우드칩,사업용,53786,-,-,16503,21341,-,-,-,-,-,-,-,-,-,-,-,-,15942,41753,-,-,15618,11415,-,-,-,-,-,1634,-,-,3241,2496,-,-,7349,95538,-,-,14619,653,-,-,-,-,24380,12628,-,-,19436,19014,-,-,4809,167583,-,-,10287,3039,-,-,-,-,23148,33411,-,-,61416,36282,-,-,-,319427.8688984133,-,-,5186.8550077286,1277.7192,-,-,-,-,-,-,-,219746.153816,32047.2914346846,61169.84944,-,-,-
"① 재생에너지",바이오 (MWh),우드칩,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3704,-,-,-,-,-,-,-,-,-,-,-,3704,-,-,-,-,-,54665,-,-,-,-,-,-,-,-,-,-,-,54665,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),목재펠릿,소계,4837318,-,-,-,-,-,-,-,-,-,808631,-,690231,2765667,30584,163,542041,-,4959229,-,-,-,-,-,-,-,-,-,912508,-,655846,2891365,9757,-,489754,-,4926845,-,-,-,-,-,-,-,-,-,1267797,-,627000,2709205,-,-,322842,-,6794232,-,-,-,-,-,-,-,-,-,1995576,-,1364378,3193072,-,-,241206,-,7393419.475704581,-,-,-,-,-,-,-,-,-,1667245.038721389,-,1627133.86669655,3967655.067286642,-,-,131385.503,-
"① 재생에너지",바이오 (MWh),목재펠릿,사업용,4837318,-,-,-,-,-,-,-,-,-,808631,-,690231,2765667,30584,163,542041,-,4959229,-,-,-,-,-,-,-,-,-,912508,-,655846,2891365,9757,-,489754,-,4926845,-,-,-,-,-,-,-,-,-,1267797,-,627000,2709205,-,-,322842,-,6794232,-,-,-,-,-,-,-,-,-,1995576,-,1364378,3193072,-,-,241206,-,7393419.475704581,-,-,-,-,-,-,-,-,-,1667245.038721389,-,1627133.86669655,3967655.067286642,-,-,131385.503,-
"① 재생에너지",바이오 (MWh),목재펠릿,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),폐목재,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",바이오 (MWh),폐목재,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
